file,exception
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/execute_function.py,"QiskitError(""Must supply QuantumCircuit to schedule circuit."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/execute_function.py,"QiskitError(""Invalid backend type %s"" % type(backend))"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/execute_function.py,"QiskitError(
    ""The parameters pass_manager conflicts with the following ""
    ""parameter(s): {}."".format("", "".join(conflicting_args))
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(
    ""%s is not a valid circuit drawer backend. Must be ""
    ""either 'text', 'mpl', 'latex', 'latex_source', or ""
    ""'auto'."" % circuit_drawer
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(
    f""'{state_drawer}' is not a valid state drawer backend. ""
    f""Choose from: '{valid_choices_string}'""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(
    f""Value assigned to circuit_reverse_bits is not valid. {str(err)}""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(
    ""%s is not a valid optimization level. Must be 0, 1, 2, or 3.""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(
    ""%s is not a valid number of processes. Must be greater than 0""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(""Key must be string type"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(f""{key} is not a valid user config."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/user_config.py,"exceptions.QiskitUserConfigError(
    f""Unable to load the config file {filename}. Error: '{str(ex)}'""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/__init__.py,"MissingOptionalLibraryError(
    ""qiskit-aer"", ""Aer provider"", ""pip install qiskit-aer""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/__init__.py,"MissingOptionalLibraryError(
    ""qiskit-ibmq-provider"", ""IBMQ provider"", ""pip install qiskit-ibmq-provider""
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/version.py,"OSError(f""Command {cmd} exited with code {proc.returncode}: {error_message}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""not a Qubit instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""duplicate qubits %s"" % duplicate_qubits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""not a Clbit instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""duplicate clbits %s"" % duplicate_clbits)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""not a QuantumRegister instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""duplicate register %s"" % qreg.name)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""not a ClassicalRegister instance."")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""duplicate register %s"" % creg.name)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(f""duplicate wire {wire}"")"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(
    ""clbits not of type Clbit: %s"" % [b for b in clbits if not isinstance(b, Clbit)]
)"
data/qiskit-terra-version-0.24.1-commit-e0c061d/qiskit/dagcircuit/dagcircuit.py,"DAGCircuitError(""clbits not in circuit: %s"" % unknown_clbits)"
